,noncountry,geopy
580,Staffordshire,"Staffordshire, England, United Kingdom"
581,Paris,"Paris, Metropolitan France, France"
582,Staffordshire,"Staffordshire, England, United Kingdom"
583,Staffordshire,"Staffordshire, England, United Kingdom"
584,Staffordshire,"Staffordshire, England, United Kingdom"
585,Santa Valley,"Santa, Tumauini, Isabela, Cagayan Valley, 3325, Philippines"
586,Staffordshire,"Staffordshire, England, United Kingdom"
587,Staffordshire,"Staffordshire, England, United Kingdom"
588,Santa Valley,"Santa, Tumauini, Isabela, Cagayan Valley, 3325, Philippines"
589,Trujillo,"Trujillo, Province of Trujillo, La Libertad, Peru"
590,Chimbote,"Chimbote, Province of Santa, Ancash, Peru"
591,Staffordshire,"Staffordshire, England, United Kingdom"
592,Persia,Iran
593,Staffordshire,"Staffordshire, England, United Kingdom"
594,Staffordshire,"Staffordshire, England, United Kingdom"
595,Santa Valley,"Santa, Tumauini, Isabela, Cagayan Valley, 3325, Philippines"
596,Staffordshire,"Staffordshire, England, United Kingdom"
597,Sunderland,"Sunderland, North East, England, United Kingdom"
598,Burslem,"Burslem, Stoke-on-Trent, England, ST6 3EA, United Kingdom"
599,England,"England, United Kingdom"
600,England,"England, United Kingdom"
601,Sunderland,"Sunderland, North East, England, United Kingdom"
602,Lambeth,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7JW, United Kingdom"
603,Staffordshire,"Staffordshire, England, United Kingdom"
604,Avon,"Avon, Fontainebleau, Seine-et-Marne, Ile-de-France, Metropolitan France, 77210, France"
605,England,"England, United Kingdom"
606,Boston,"Boston, Suffolk County, Massachusetts, United States"
607,London,"London, Greater London, England, United Kingdom"
608,England,"England, United Kingdom"
609,Chelsea,"Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 5UA, United Kingdom"
610,Derby,"Derby, East Midlands, England, United Kingdom"
611,Staffordshire,"Staffordshire, England, United Kingdom"
612,Derby,"Derby, East Midlands, England, United Kingdom"
613,Plymouth,"Plymouth, England, United Kingdom"
614,Worcester,"Worcester, Worcester County, Massachusetts, United States"
615,Worcester,"Worcester, Worcester County, Massachusetts, United States"
616,Worcester,"Worcester, Worcester County, Massachusetts, United States"
617,Staffordshire,"Staffordshire, England, United Kingdom"
618,Worcester,"Worcester, Worcester County, Massachusetts, United States"
619,Worcester,"Worcester, Worcester County, Massachusetts, United States"
620,Worcester,"Worcester, Worcester County, Massachusetts, United States"
621,Worcester,"Worcester, Worcester County, Massachusetts, United States"
622,Worcester,"Worcester, Worcester County, Massachusetts, United States"
623,Staffordshire,"Staffordshire, England, United Kingdom"
624,Worcester,"Worcester, Worcester County, Massachusetts, United States"
625,Frankenthal,"Frankenthal (Pfalz), Rhineland-Palatinate, 67227, Germany"
626,Moustiers-Sainte Marie,"Moustiers-Sainte-Marie, Digne-les-Bains, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur, Metropolitan France, 04360, France"
627,Moustiers-Sainte Marie,"Moustiers-Sainte-Marie, Digne-les-Bains, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur, Metropolitan France, 04360, France"
628,Rouen,"Rouen, Seine-Maritime, Normandy, Metropolitan France, France"
629,Rouen,"Rouen, Seine-Maritime, Normandy, Metropolitan France, France"
630,Rouen,"Rouen, Seine-Maritime, Normandy, Metropolitan France, France"
631,Rouen,"Rouen, Seine-Maritime, Normandy, Metropolitan France, France"
632,Rouen,"Rouen, Seine-Maritime, Normandy, Metropolitan France, France"
633,Sardinia,"Sardinia, Italy"
634,Rouen,"Rouen, Seine-Maritime, Normandy, Metropolitan France, France"
635,Preston,"Preston, Lancashire, England, United Kingdom"
636,Rouen,"Rouen, Seine-Maritime, Normandy, Metropolitan France, France"
637,Preston,"Preston, Lancashire, England, United Kingdom"
638,Rouen,"Rouen, Seine-Maritime, Normandy, Metropolitan France, France"
639,Preston,"Preston, Lancashire, England, United Kingdom"
640,Rouen,"Rouen, Seine-Maritime, Normandy, Metropolitan France, France"
641,Staffordshire,"Staffordshire, England, United Kingdom"
642,England,"England, United Kingdom"
643,Rouen,"Rouen, Seine-Maritime, Normandy, Metropolitan France, France"
644,England,"England, United Kingdom"
645,Delft,"Delft, South Holland, Netherlands"
646,England,"England, United Kingdom"
647,Delft,"Delft, South Holland, Netherlands"
648,England,"England, United Kingdom"
649,Delft,"Delft, South Holland, Netherlands"
650,England,"England, United Kingdom"
651,England,"England, United Kingdom"
652,Delft,"Delft, South Holland, Netherlands"
653,Rhode Island,"Rhode Island, United States"
654,Delft,"Delft, South Holland, Netherlands"
655,England,"England, United Kingdom"
656,Staffordshire,"Staffordshire, England, United Kingdom"
657,England,"England, United Kingdom"
658,Staffordshire,"Staffordshire, England, United Kingdom"
659,England,"England, United Kingdom"
660,Marseille,"Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, France"
661,Staffordshire,"Staffordshire, England, United Kingdom"
662,Niderviller,"Niderviller, Sarrebourg-Château-Salins, Moselle, Grand Est, Metropolitan France, 57565, France"
663,England,"England, United Kingdom"
664,Chantilly,"Chantilly, Senlis, Oise, Hauts-de-France, Metropolitan France, 60500, France"
665,England,"England, United Kingdom"
666,Marseille,"Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, France"
667,Staffordshire,"Staffordshire, England, United Kingdom"
668,Tabriz,"Tabriz, بخش مرکزی شهرستان تبریز, Tabriz County, Iran"
669,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
670,Basel,"Basel, Basel-City, Switzerland"
671,Bruges,"Bruges, Brugge, West Flanders, Flanders, Belgium"
672,England,"England, United Kingdom"
673,Seville,"Seville, Sevilla, Andalusia, Spain"
674,Siena,"Siena, Tuscany, Italy"
675,England,"England, United Kingdom"
676,Jouy-en-Josas,"Jouy-en-Josas, Versailles, Yvelines, Metropolitan France, 78350, France"
677,Jouy-en-Josas,"Jouy-en-Josas, Versailles, Yvelines, Metropolitan France, 78350, France"
678,Middlesex,"Middlesex, Royal Borough of Windsor and Maidenhead, Greater London, England, United Kingdom"
679,England,"England, United Kingdom"
680,England,"England, United Kingdom"
681,England,"England, United Kingdom"
682,England,"England, United Kingdom"
683,England,"England, United Kingdom"
684,Holland,Netherlands
685,Holland,Netherlands
686,England,"England, United Kingdom"
687,England,"England, United Kingdom"
688,Flanders,"Flanders, Belgium"
689,England,"England, United Kingdom"
690,New York,"New York, United States"
691,Côte d'Ivoire,Côte d'Ivoire
692,Holland,Netherlands
693,England,"England, United Kingdom"
694,England,"England, United Kingdom"
695,England,"England, United Kingdom"
696,England,"England, United Kingdom"
697,Flanders,"Flanders, Belgium"
698,England,"England, United Kingdom"
699,England,"England, United Kingdom"
700,Urbino,"Urbino, Pesaro e Urbino, 61029, Italy"
701,England,"England, United Kingdom"
702,England,"England, United Kingdom"
703,Perugia,"Perugia, Umbria, Italy"
704,England,"England, United Kingdom"
705,England,"England, United Kingdom"
706,England,"England, United Kingdom"
707,Scotland,"Scotland, United Kingdom"
708,Holland,Netherlands
709,Holland,Netherlands
710,Holland,Netherlands
711,England,"England, United Kingdom"
712,England,"England, United Kingdom"
713,England,"England, United Kingdom"
714,New England,"New England, United States"
715,England,"England, United Kingdom"
716,England,"England, United Kingdom"
717,New York,"New York, United States"
718,Philadelphia,"Philadelphia, Philadelphia County, Pennsylvania, United States"
719,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
720,England,"England, United Kingdom"
721,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
722,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
723,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
724,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
725,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
726,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
727,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
728,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
729,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
730,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
731,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
732,England,"England, United Kingdom"
733,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
734,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
735,England,"England, United Kingdom"
736,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
737,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
738,Flanders,"Flanders, Belgium"
739,England,"England, United Kingdom"
740,New York,"New York, United States"
741,England,"England, United Kingdom"
742,England,"England, United Kingdom"
743,England,"England, United Kingdom"
744,England,"England, United Kingdom"
745,England,"England, United Kingdom"
746,England,"England, United Kingdom"
747,England,"England, United Kingdom"
748,England,"England, United Kingdom"
749,England,"England, United Kingdom"
750,England,"England, United Kingdom"
751,England,"England, United Kingdom"
752,Venice,"Venice, Venezia, Veneto, 30121-30176, Italy"
753,England,"England, United Kingdom"
754,Cholula,"Cholula, Cosalá, Sinaloa, 80700, Mexico"
755,England,"England, United Kingdom"
756,Mechelen,"Mechelen, Antwerp, Flanders, Belgium"
757,England,"England, United Kingdom"
758,England,"England, United Kingdom"
759,England,"England, United Kingdom"
760,England,"England, United Kingdom"
761,Meissen,"Meissen, Meißen, Saxony, Germany"
762,Europe,Europe
763,Europe,Europe
764,Europe,Europe
765,Philadelphia,"Philadelphia, Philadelphia County, Pennsylvania, United States"
766,England,"England, United Kingdom"
767,Brunswick,"Brunswick, Lower Saxony, Germany"
768,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
769,Haycock Township,"Haycock Township, Bucks County, Pennsylvania, United States"
770,Gandhara,"Gandhara, High Level Road, Edmonton Government Housing Scheme, Kirulapona, Colombo, Colombo District, Western Province, 20200, Sri Lanka"
771,Pennsylvania,"Pennsylvania, United States"
772,Gandhara,"Gandhara, High Level Road, Edmonton Government Housing Scheme, Kirulapona, Colombo, Colombo District, Western Province, 20200, Sri Lanka"
773,Gandhara,"Gandhara, High Level Road, Edmonton Government Housing Scheme, Kirulapona, Colombo, Colombo District, Western Province, 20200, Sri Lanka"
774,Boston,"Boston, Suffolk County, Massachusetts, United States"
775,Paisley,"Paisley, Renfrewshire, Scotland, PA1 1DG, United Kingdom"
776,England,"England, United Kingdom"
777,England,"England, United Kingdom"
778,Pennsylvania,"Pennsylvania, United States"
779,Gandhara,"Gandhara, High Level Road, Edmonton Government Housing Scheme, Kirulapona, Colombo, Colombo District, Western Province, 20200, Sri Lanka"
780,Augsburg,"Augsburg, Bavaria, Germany"
781,Gandhara,"Gandhara, High Level Road, Edmonton Government Housing Scheme, Kirulapona, Colombo, Colombo District, Western Province, 20200, Sri Lanka"
782,London,"London, Greater London, England, United Kingdom"
783,Gandhara,"Gandhara, High Level Road, Edmonton Government Housing Scheme, Kirulapona, Colombo, Colombo District, Western Province, 20200, Sri Lanka"
784,Lincoln,"Lincoln, Lancaster County, Nebraska, United States"
785,Augsburg,"Augsburg, Bavaria, Germany"
786,New City,"New City, Town of Clarkstown, Rockland County, New York, 10956, United States"
787,Mennecy,"Mennecy, Évry, Essonne, Metropolitan France, 91540, France"
788,Worcester,"Worcester, Worcester County, Massachusetts, United States"
789,Orrefors,"Orrefors, Nybro kommun, Kalmar County, 380 42, Sweden"
790,Orrefors,"Orrefors, Nybro kommun, Kalmar County, 380 42, Sweden"
791,New England,"New England, United States"
792,England,"England, United Kingdom"
793,New York,"New York, United States"
794,England,"England, United Kingdom"
795,England,"England, United Kingdom"
796,Flanders,"Flanders, Belgium"
797,Aubusson,"Aubusson, Argentan, Orne, Normandy, Metropolitan France, 61100, France"
798,England,"England, United Kingdom"
799,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
800,Flanders,"Flanders, Belgium"
801,England,"England, United Kingdom"
802,Unknown Place,"Unknown place, Fikre Mariam Aba Techan Street, Megenagna, Yeka, Addis Ababa, 2310, Ethiopia"
803,Holland,Netherlands
804,Holland,Netherlands
805,Persia,Iran
806,England,"England, United Kingdom"
807,Persia,Iran
808,England,"England, United Kingdom"
809,England,"England, United Kingdom"
810,England,"England, United Kingdom"
811,England,"England, United Kingdom"
812,England,"England, United Kingdom"
813,England,"England, United Kingdom"
814,England,"England, United Kingdom"
815,England,"England, United Kingdom"
816,England,"England, United Kingdom"
817,England,"England, United Kingdom"
818,Santa Valley,"Santa, Tumauini, Isabela, Cagayan Valley, 3325, Philippines"
819,Flanders,"Flanders, Belgium"
820,Paris,"Paris, Metropolitan France, France"
821,Tanágra,"Tanagra, Δημοτική Ενότητα Τανάγρας, Municipality of Tanagra, Regional Unit of Boeotia, Central Greece, Thessaly and Central Greece, 320 09, Greece"
822,Santa Valley,"Santa, Tumauini, Isabela, Cagayan Valley, 3325, Philippines"
823,Santa Valley,"Santa, Tumauini, Isabela, Cagayan Valley, 3325, Philippines"
824,Santa Valley,"Santa, Tumauini, Isabela, Cagayan Valley, 3325, Philippines"
825,England,"England, United Kingdom"
826,England,"England, United Kingdom"
827,Santa Valley,"Santa, Tumauini, Isabela, Cagayan Valley, 3325, Philippines"
828,Santa Valley,"Santa, Tumauini, Isabela, Cagayan Valley, 3325, Philippines"
829,Southern Peru,"Refinería de Cobre de Ilo - Southern Peru, Pacocha, Province of Ilo, Moquegua, Peru"
830,Chimbote,"Chimbote, Province of Santa, Ancash, Peru"
831,England,"England, United Kingdom"
832,Scotland,"Scotland, United Kingdom"
833,Holland,Netherlands
834,Holland,Netherlands
835,Holland,Netherlands
836,Holland,Netherlands
837,Holland,Netherlands
838,Holland,Netherlands
839,Holland,Netherlands
840,Holland,Netherlands
841,Holland,Netherlands
842,Holland,Netherlands
843,Holland,Netherlands
844,Holland,Netherlands
845,Holland,Netherlands
846,England,"England, United Kingdom"
847,Holland,Netherlands
848,Holland,Netherlands
849,Holland,Netherlands
850,Holland,Netherlands
851,Holland,Netherlands
852,Holland,Netherlands
853,Holland,Netherlands
854,Holland,Netherlands
855,Holland,Netherlands
856,Holland,Netherlands
857,Holland,Netherlands
858,Holland,Netherlands
859,Holland,Netherlands
860,Holland,Netherlands
861,Holland,Netherlands
862,Holland,Netherlands
863,Holland,Netherlands
864,Holland,Netherlands
865,Holland,Netherlands
866,Holland,Netherlands
867,Holland,Netherlands
868,Flanders,"Flanders, Belgium"
869,Holland,Netherlands
870,Holland,Netherlands
871,Holland,Netherlands
872,Holland,Netherlands
873,Holland,Netherlands
874,Holland,Netherlands
875,Holland,Netherlands
876,Holland,Netherlands
877,Paris,"Paris, Metropolitan France, France"
878,Holland,Netherlands
879,Flanders,"Flanders, Belgium"
880,Burslem,"Burslem, Stoke-on-Trent, England, ST6 3EA, United Kingdom"
881,Orrefors,"Orrefors, Nybro kommun, Kalmar County, 380 42, Sweden"
882,Orrefors,"Orrefors, Nybro kommun, Kalmar County, 380 42, Sweden"
883,Orrefors,"Orrefors, Nybro kommun, Kalmar County, 380 42, Sweden"
884,Orrefors,"Orrefors, Nybro kommun, Kalmar County, 380 42, Sweden"
885,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
886,Venice,"Venice, Venezia, Veneto, 30121-30176, Italy"
887,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
888,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
889,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
890,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
891,England,"England, United Kingdom"
892,Staffordshire,"Staffordshire, England, United Kingdom"
893,Caulonia,"Caulonia, Reggio Calabria, Calabria, 89045, Italy"
894,England,"England, United Kingdom"
895,Corinth,"Corinth, Municipality of Corinth, Corinthia Regional Unit, Peloponnese Region, Peloponnese, Western Greece and the Ionian, Greece"
896,Corinth,"Corinth, Municipality of Corinth, Corinthia Regional Unit, Peloponnese Region, Peloponnese, Western Greece and the Ionian, Greece"
897,New York City,"New York, United States"
898,Corinth,"Corinth, Municipality of Corinth, Corinthia Regional Unit, Peloponnese Region, Peloponnese, Western Greece and the Ionian, Greece"
899,Levkás,"Levkas, Kamares, Κοινότητα Τάλας, Paphos District, Cyprus, 8577, Cyprus"
900,England,"England, United Kingdom"
901,Crotone,"Crotone, Calabria, Italy"
902,England,"England, United Kingdom"
903,Al Marj,"Marj, Libya"
904,Tyre,"Tyre, Tyre District, South Governorate, 1601, Lebanon"
905,Macedonia,North Macedonia
906,Kavála,"Kavala, Kavala Municipality, Kavala Regional Unit, Eastern Macedonia and Thrace, Macedonia and Thrace, 653 02, Greece"
907,Macedonia,North Macedonia
908,Macedonia,North Macedonia
909,Macedonia,North Macedonia
910,Macedonia,North Macedonia
911,Macedonia,North Macedonia
912,Macedonia,North Macedonia
913,Metaponto,"Metaponto, Bernalda, Matera, Basilicata, 75012, Italy"
914,Miletus,"Miletus, Doddridge County, West Virginia, United States"
915,Naples,"Naples, Campania, Italy"
916,Antalya Ili,"Antalya, Pavaresia, Rrota E Kuqe, Durrës, Bashkia Durrës, Durrës County, Northern Albania, 2001, Albania"
917,Tyre,"Tyre, Tyre District, South Governorate, 1601, Lebanon"
918,Scotland,"Scotland, United Kingdom"
919,Pesto,"Pesto, Petite-Rivière-Saint-François, Charlevoix, Capitale-Nationale, Quebec, G0A 2L0, Canada"
920,Scotland,"Scotland, United Kingdom"
921,Messina,"Messina, Sicily, Italy"
922,Selinunte,"Selinunte, Strada statale Sud Occidentale Sicula, Selinunte, Castelvetrano, Trapani, Sicily, 91022, Italy"
923,Sikión,"Sikiöntie, Rautjärvi, Imatra sub-region, South Karelia, Mainland Finland, 56800, Finland"
924,Syracuse,"Syracuse, Siracusa, Sicily, Italy"
925,Tyre,"Tyre, Tyre District, South Governorate, 1601, Lebanon"
926,Taranto,"Taranto, Apulia, Italy"
927,Taranto,"Taranto, Apulia, Italy"
928,Taranto,"Taranto, Apulia, Italy"
929,Taranto,"Taranto, Apulia, Italy"
930,Lárisa,"Larissa, Municipal Unit of Larissa, Municipality of Larissa, Larisa Regional Unit, Thessaly, Thessaly and Central Greece, 422 22, Greece"
931,Thessalía,"Thessaly, Thessaly and Central Greece, Greece"
932,Thrace,"Ovcha kupel, President Lincoln Blvd., kv. Ovcha kupel, Sofia, Ovcha kupel, Sofia City, Sofia-City, 1618, Bulgaria"
933,Flanders,"Flanders, Belgium"
934,Thásos,"Thasos, Thasos Regional Unit, Eastern Macedonia and Thrace, Macedonia and Thrace, Greece"
935,Thásos,"Thasos, Thasos Regional Unit, Eastern Macedonia and Thrace, Macedonia and Thrace, Greece"
936,Chicago,"Chicago, Cook County, Illinois, United States"
937,Thásos,"Thasos, Thasos Regional Unit, Eastern Macedonia and Thrace, Macedonia and Thrace, Greece"
938,Elea,"Elea, Gouves Municipal Unit, Municipality of Chersonissos, Heraklion Regional Unit, Region of Crete, 700 08, Greece"
939,England,"England, United Kingdom"
940,Elea,"Elea, Gouves Municipal Unit, Municipality of Chersonissos, Heraklion Regional Unit, Region of Crete, 700 08, Greece"
941,England,"England, United Kingdom"
942,Illyria,"Illyria, Fayette County, Iowa, 52141, United States"
943,Ancient Greece,"Municipality of Ancient Olympia, Elis Regional Unit, Western Greece, Peloponnese, Western Greece and the Ionian, Greece"
944,Alexandria,"Alexandria, 21519, Egypt"
945,Agrigento,"Agrigento, Sicily, 92100, Italy"
946,Ancient Greece,"Municipality of Ancient Olympia, Elis Regional Unit, Western Greece, Peloponnese, Western Greece and the Ionian, Greece"
947,Calabria,"Calabria, Italy"
948,Carthage,"Carthage, Tunis, 2016, Tunisia"
949,Gela,"Gela, Caltanissetta, Sicily, 93012, Italy"
950,Messina,"Messina, Sicily, Italy"
951,Naples,"Naples, Campania, Italy"
952,Kavála,"Kavala, Kavala Municipality, Kavala Regional Unit, Eastern Macedonia and Thrace, Macedonia and Thrace, 653 02, Greece"
953,Macedonia,North Macedonia
954,Syracuse,"Syracuse, Siracusa, Sicily, Italy"
955,Syracuse,"Syracuse, Siracusa, Sicily, Italy"
956,Ancient Greece,"Municipality of Ancient Olympia, Elis Regional Unit, Western Greece, Peloponnese, Western Greece and the Ionian, Greece"
957,Thrace,"Ovcha kupel, President Lincoln Blvd., kv. Ovcha kupel, Sofia, Ovcha kupel, Sofia City, Sofia-City, 1618, Bulgaria"
958,Shahhat,"Shahhat, Jabal al Akhdar, Libya"
959,Ionia,"Ionia County, Michigan, United States"
960,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
961,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
962,Acilia,"Acilia, Rome, Roma Capitale, Lazio, 00125, Italy"
963,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
964,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
965,Capua,"Capua, Caserta, Campania, Italy"
966,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
967,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
968,Providence,"Providence, Providence County, Rhode Island, United States"
969,England,"England, United Kingdom"
970,Korea,South Korea
971,Korea,South Korea
972,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
973,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
974,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
975,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
976,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
977,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
978,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
979,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
980,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
981,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
982,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
983,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
984,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
985,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
986,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
987,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
988,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
989,Czech Republic,Czechia
990,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
991,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
992,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
993,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
994,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
995,Milan,"Milan, Lombardy, Italy"
996,Rome,"Rome, Roma Capitale, Lazio, Italy"
997,New England,"New England, United States"
998,Milan,"Milan, Lombardy, Italy"
999,Boston,"Boston, Suffolk County, Massachusetts, United States"
1000,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1001,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1002,Rome,"Rome, Roma Capitale, Lazio, Italy"
1003,Rome,"Rome, Roma Capitale, Lazio, Italy"
1004,Rome,"Rome, Roma Capitale, Lazio, Italy"
1005,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1006,Rome,"Rome, Roma Capitale, Lazio, Italy"
1007,Rome,"Rome, Roma Capitale, Lazio, Italy"
1008,Rome,"Rome, Roma Capitale, Lazio, Italy"
1009,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1010,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1011,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1012,Rome,"Rome, Roma Capitale, Lazio, Italy"
1013,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1014,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1015,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1016,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1017,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1018,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
